"그룹회사코드","마이데이터고객식별자","포트폴리오회원사진","포트폴리오이미지파일정보내용","캐릭터이미지명","공유이미지구분","별명","메일링이메일주소EC","포트폴리오메일링신청여부","이메일주소공개여부","댓글사용여부","포트폴리오공개여부","포트폴리오공개여부최초등록일시","포트폴리오공개여부최종수정일시","직업군공개여부","성별공개여부","금융비금융자산공개여부","시도공개여부","시군구공개여부","추가정보내용","추가정보공개여부","금융자산소득구간구분","금융비금융자산구간구분","CRM연령구분","회원연령","직업군대분류구분","거주시도구분","거주시군구구분","개인정보수집이용동의여부","개인정보수집이용동의일시","최초접속일시","푸쉬수신여부","푸쉬최초등록일시","푸쉬최종변경일시","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000013",,PNG,avatar33.png,"1",파주 진시황,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00040",41,"01","34","3405","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000014",,PNG,avatar25.png,"1",오산 쉴레이만 1세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00029",27,"02","34","3403","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000015",,PNG,avatar4.png,"1",바르샤바 헬리오토로프,"","0","0","1","1","","","1","0","1","1","0","","0","00","01","00025",25,"07","50","5015","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000016",,PNG,avatar8.png,"1",부다페스트 프리지아,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00040",41,"07","10","1009","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000017",,PNG,avatar32.png,"1",스톡홀름 카니슈카 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00065",66,"04","01","0119","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000018",,PNG,avatar34.png,"1",밴쿠버 갓개매취,"","0","0","1","1","","","1","0","1","1","0","","0","05","04","00035",34,"07","10","1027","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000019",,PNG,avatar13.png,"1",부천  예카테리나 대제,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00059",59,"08","57","5716","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000020",,PNG,avatar18.png,"1",더반 로사 캠피온,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00020",20,"07","21","2105","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000021",,PNG,avatar6.png,"1",이스파한 흰나팔꽃,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00045",44,"02","01","0101","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000022",,PNG,avatar33.png,"1",계룡 헨리 2세,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00059",57,"08","57","5721","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000023",,PNG,avatar37.png,"1",함부르크 마르쿠스 아우렐리우스,"","0","0","1","1","","","1","0","1","1","0","","0","04","03","00069",69,"04","24","2416","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000025",,PNG,avatar12.png,"1",프리드리히 빌헬름 1세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00035",35,"01","01","0114","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000026",,PNG,avatar22.png,"1",리우 데 자네이루 리처드 1세,"","0","0","1","1","","","1","0","1","1","0","","0","04","03","00040",40,"04","31","3101","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000027",,PNG,avatar8.png,"1",브뤼셀 주원장,"","0","0","1","1","","","1","0","1","1","0","","0","02","01","00055",54,"05","30","3001","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000028",,PNG,avatar25.png,"1",파주 필리프 3세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00025",25,"05","44","4402","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000029",,PNG,avatar37.png,"1",함부르크 제라늄,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00060",62,"13","46","4613","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000030",,PNG,avatar39.png,"1",페스 헬리오토로프,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00025",24,"08","57","5701","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000031",,PNG,avatar26.png,"1",탈린 카메하메하 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","02","01","00040",41,"08","10","1020","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000032",,PNG,avatar3.png,"1",싱가포르 박하,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00025",26,"07","10","1005","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000033",,PNG,avatar6.png,"1",로마  조팝나무꽃,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00025",26,"02","21","2107","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000034",,PNG,avatar22.png,"1",영천 랑캄행 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","05","04","00035",34,"07","30","3001","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000035",,PNG,avatar24.png,"1",리스본 플라타너스,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00020",21,"07","36","3617","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000036",,PNG,avatar39.png,"1",라호르 금영화,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00040",42,"07","54","5412","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000037",,PNG,avatar29.png,"1",리스본 아르메리아,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00059",59,"02","24","2401","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000038",,PNG,avatar27.png,"1",상주 다비트 4세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00030",32,"09","36","3615","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000039",,PNG,avatar6.png,"1",익산 발데마르 2세,"","0","0","1","1","","","1","0","1","1","0","","0","04","03","00029",29,"07","10","1002","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000041",,PNG,avatar8.png,"1",두바이 사르곤 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00039",38,"03","10","1007","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000042",,PNG,avatar3.png,"1",시흥 메흐메트 1세,"","0","0","1","1","","","1","0","1","1","0","","0","04","02","00050",51,"07","46","4605","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000043",,PNG,avatar16.png,"1",바르셀로나 시클라멘,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00045",45,"05","01","0108","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000044",,PNG,avatar10.png,"1",시카고 골든 로드,"","0","0","1","1","","","1","0","1","1","0","","0","04","03","00025",24,"09","10","1007","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000045",,PNG,avatar3.png,"1",비엔나 셀림 2세,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00039",37,"06","54","5409","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000046",,PNG,avatar8.png,"1",밀양 테오도시우스 대제,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00060",61,"07","01","0103","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000047",,PNG,avatar24.png,"1",양산 이반 대제,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00040",40,"13","36","3618","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000048",,PNG,avatar8.png,"1",방콕 살구꽃,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00040",43,"04","01","0101","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000049",,PNG,avatar38.png,"1",홍콩 필리프,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00035",36,"11","54","5407","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000050",,PNG,avatar9.png,"1",스톡홀름 자목련,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00060",60,"13","31","3103","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000051",,PNG,avatar15.png,"1",평택 블라드 3세,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00049",48,"07","44","4404","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000052",,PNG,avatar2.png,"1",예루살렘 당태종,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00030",32,"06","36","3613","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000053",,PNG,avatar1.png,"1",파리 진시황,"","0","0","1","1","","","1","0","1","1","0","","0","06","04","00029",28,"01","63","6301","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000054",,PNG,avatar37.png,"1",코르도바 주원장,"","0","0","1","1","","","1","0","1","1","0","","0","06","03","00020",23,"04","10","1016","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000055",,PNG,avatar11.png,"1",군포 페르난도 7세,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00039",39,"07","01","0108","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000056",,PNG,avatar35.png,"1",충주 샤를 6세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00030",30,"06","01","0105","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000057",,PNG,avatar19.png,"1",문경 스벤 1세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00050",50,"08","01","0101","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000058",,PNG,avatar4.png,"1",두바이 카니슈카 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00030",32,"09","50","5002","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000059",,PNG,avatar35.png,"1",카를로비바리 타마린드,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00025",25,"01","10","1009","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000060",,PNG,avatar23.png,"1",런던 작약,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00045",46,"07","27","2710","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000061",,PNG,avatar30.png,"1",뉴올리언스 금영화,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00035",36,"10","01","0102","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000062",,PNG,avatar7.png,"1",태백 카지미에시 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","04","03","00049",47,"10","57","5715","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000063",,PNG,avatar3.png,"1",몬테비데오 바카리스,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00040",43,"08","01","0119","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000064",,PNG,avatar1.png,"1",뉴욕 마르멜로,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00049",49,"08","50","5009","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000065",,PNG,avatar25.png,"1",리우 데 자네이루 프랑스 루이 13세,"","0","0","1","1","","","1","0","1","1","0","","0","00","01","00030",30,"09","61","6105","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000066",,PNG,avatar15.png,"1",탈린 카지미에시 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","00","00","00050",52,"07","31","3106","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000067",,PNG,avatar34.png,"1",진주 이반 대제,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00029",28,"09","10","1009","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000068",,PNG,avatar37.png,"1",마라케시 유대 헤로데 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00030",32,"03","10","1019","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000069",,PNG,avatar7.png,"1",수원 리처드 1세,"","0","0","1","1","","","1","0","1","1","0","","0","04","03","00029",28,"09","61","6103","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000070",,PNG,avatar17.png,"1",암스테르담 크누드 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00029",28,"12","24","2402","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000071",,PNG,avatar1.png,"1",안성 블라드 3세,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00059",59,"08","10","1018","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000072",,PNG,avatar24.png,"1",싱가포르 필리프 3세,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00049",47,"09","10","1005","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000073",,PNG,avatar14.png,"1",김제 카메하메하 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","04","03","00029",27,"07","41","4105","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000074",,PNG,avatar6.png,"1",파리 샤푸르 대제,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00069",68,"08","10","1028","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000075",,PNG,avatar6.png,"1",헬싱키 펠리페 3세,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00039",38,"10","46","4615","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000076",,PNG,avatar34.png,"1",안트베르펜 스노드롭,"","0","0","1","1","","","1","0","1","1","0","","0","01","00","00049",49,"07","57","5717","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000077",,PNG,avatar28.png,"1",오슬로 랑캄행 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","01","00","00025",26,"07","36","3623","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000078",,PNG,avatar20.png,"1",교토 꽃고비,"","0","0","1","1","","","1","0","1","1","0","","0","06","06","00025",25,"09","27","2708","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000079",,PNG,avatar36.png,"1",거제 루이 16세,"","0","0","1","1","","","1","0","1","1","0","","0","00","00","00025",26,"10","31","3102","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000080",,PNG,avatar13.png,"1",델리 리처드 1세,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00049",49,"07","10","1009","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000081",,PNG,avatar6.png,"1",싱가포르 헨리 2세,"","0","0","1","1","","","1","0","1","1","0","","0","06","03","00040",43,"09","41","4105","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000082",,PNG,avatar5.png,"1",아비장 데메트리오스 1세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00049",48,"04","10","1024","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000083",,PNG,avatar13.png,"1",사나 루이 8세,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00035",36,"07","01","0108","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000084",,PNG,avatar17.png,"1",테헤란 엘리자베스 1세,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00030",30,"07","21","2103","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000085",,PNG,avatar10.png,"1",케이프타운 프리지아,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00045",45,"08","10","1001","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000086",,PNG,avatar22.png,"1",시카고 필리프 3세,"","0","0","1","1","","","1","0","1","1","0","","0","04","02","00035",34,"09","01","0119","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000087",,PNG,avatar17.png,"1",니스 진달래,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00035",35,"08","21","2108","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000088",,PNG,avatar8.png,"1",부에노스아이레스 아리스타타,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00055",56,"08","50","5012","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000089",,PNG,avatar13.png,"1",공주 프리드리히 빌헬름 1세,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00029",28,"09","01","0105","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000090",,PNG,avatar1.png,"1",부에노스아이레스 글라디올러스,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00029",28,"02","50","5016","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000091",,PNG,avatar12.png,"1",호치민 하이포시스 오리어,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00059",59,"08","61","6104","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000092",,PNG,avatar2.png,"1",싱가포르 필리프 2세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00040",42,"09","21","2102","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000093",,PNG,avatar26.png,"1",김제 악바르 대제,"","0","0","1","1","","","1","0","1","1","0","","0","07","05","00025",26,"05","01","0116","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000094",,PNG,avatar23.png,"1",아비장 루이 16세,"","0","0","1","1","","","1","0","1","1","0","","0","04","02","00029",29,"03","01","0107","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000095",,PNG,avatar5.png,"1",암만 무궁화,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00040",40,"06","31","3115","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000096",,PNG,avatar18.png,"1",울산 카를루스 1세,"","0","0","1","1","","","1","0","1","1","0","","0","04","03","00045",46,"07","10","1028","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000097",,PNG,avatar32.png,"1",바르샤바 귀고리꽃,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00025",26,"08","50","5014","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000098",,PNG,avatar18.png,"1",카이로 라마 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","02","03","00050",53,"03","01","0102","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000099",,PNG,avatar12.png,"1",남원 볼레스와프 2세,"","0","0","1","1","","","1","0","1","1","0","","0","06","05","00025",24,"06","10","1016","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000100",,PNG,avatar8.png,"1",양곤 카지미에시 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","05","04","00030",31,"11","10","1014","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000101",,PNG,avatar20.png,"1",델리 옥타비아누스,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00029",29,"09","31","3103","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000102",,PNG,avatar6.png,"1",순천 한노 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","06","04","00050",50,"07","01","0104","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000103",,PNG,avatar2.png,"1",바르샤바 프리드리히 1세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00029",28,"07","10","1028","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000104",,PNG,avatar2.png,"1",제주 메흐메트 1세,"","0","0","1","1","","","1","0","1","1","0","","0","06","05","00050",52,"07","10","1008","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000105",,PNG,avatar19.png,"1",함부르크 빨간앵초,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00059",57,"07","44","4403","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000106",,PNG,avatar30.png,"1",태백 앨프레드 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00039",39,"08","01","0108","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000107",,PNG,avatar6.png,"1",멜버른 칼미아,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00040",40,"06","01","0123","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000108",,PNG,avatar5.png,"1",서울 다레수안 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00030",33,"10","46","4611","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000109",,PNG,avatar17.png,"1",시카고 라그나르 로드브로크,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00059",58,"10","50","5005","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000110",,PNG,avatar37.png,"1",프리워커스,"","0","0","1","1","","","1","0","1","1","0","","0","00","00","00030",33,"07","57","5718","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000111",,PNG,avatar26.png,"1",바그다드 자운영,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00055",54,"08","50","5017","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000112",,PNG,avatar36.png,"1",마드리드 황금싸리,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00049",47,"07","41","4104","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000113",,PNG,avatar18.png,"1",프라하 서향,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00020",23,"08","10","1019","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000114",,PNG,avatar30.png,"1",파리 카지미에시 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00040",43,"11","41","4101","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000115",,PNG,avatar8.png,"1",베이징 글라디올러스,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00030",31,"07","50","5003","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000116",,PNG,avatar14.png,"1",밴쿠버 티무르 베그 구르카니,"","0","0","1","1","","","1","0","1","1","0","","0","02","03","00050",51,"13","10","1019","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000117",,PNG,avatar25.png,"1",울산 다레수안 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00029",28,"08","01","0122","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000118",,PNG,avatar28.png,"1",리마 타마르 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00060",61,"08","27","2711","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000119",,PNG,avatar34.png,"1",옥스퍼드 아바스 대제,"","0","0","1","1","","","1","0","1","1","0","","0","03","03","00035",34,"09","36","3613","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000120",,PNG,avatar18.png,"1",헬싱키 헨리 1세,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00035",35,"09","10","1009","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000121",,PNG,avatar39.png,"1",세비야 진달래,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00025",26,"13","10","1004","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000123",,PNG,avatar37.png,"1",리스본 랑캄행 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","03","02","00050",51,"08","10","1017","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000124",,PNG,avatar5.png,"1",충주 테오도시우스 대제,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00030",30,"07","10","1008","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000125",,PNG,avatar13.png,"1",암스테르담 서향,"","0","0","1","1","","","1","0","1","1","0","","0","05","03","00025",25,"08","01","0105","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000126",,PNG,avatar20.png,"1",카이로 빨간앵초,"","0","0","1","1","","","1","0","1","1","0","","0","05","04","00035",35,"13","24","2409","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000127",,PNG,avatar39.png,"1",런던 저먼더,"","0","0","1","1","","","1","0","1","1","0","","0","01","02","00029",28,"09","44","4402","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000128",,PNG,avatar35.png,"1",카이로 앙리 대왕,"","0","0","1","1","","","1","0","1","1","0","","0","03","03","00029",29,"01","10","1022","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000129",,PNG,avatar21.png,"1",안성 카를루스 1세,"","0","0","1","1","","","1","0","1","1","0","","0","01","01","00035",34,"04","01","0123","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000130",,PNG,avatar17.png,"1",구리 마르쿠스 아우렐리우스,"","0","0","1","1","","","1","0","1","1","0","","0","02","02","00040",42,"07","01","0101","1",,,,,,"2021-08-27 01:07",S016217
KB0,"2000000131",,PNG,avatar38.png,"1",사나 라그나르 로드브로크,"","0","0","1","1","","","1","0","1","1","0","","0","05","04","00049",48,"09","10","1010","1",,,,,,"2021-08-27 01:07",S016217
