"그룹회사코드","마이데이터고객식별자","기준년월일","금융자산집계금액","비금융자산집계금액","부채집계금액","현금자산집계금액","예금자산집계금액","투자자산집계금액","보험자산집계금액","연금자산집계금액","전월대비금융자산증감비율","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000016","20210826",25576165.676,,,1821000.000,7284000.000,6873865.247,3496320.000,6100980.429,-20.13000,"2021-08-26 20:24:36",S016217
KB0,"2000000017","20210826",44951779.426,,,2434500.000,16230000.000,15258039.294,3976350.000,7052890.132,-23.74000,"2021-08-26 20:24:36",S016217
KB0,"2000000018","20210826",242106275.517,,,13197600.000,87984000.000,77094050.230,34313760.000,29516865.287,-22.66000,"2021-08-26 20:24:36",S016217
KB0,"2000000019","20210826",201848255.646,,,26678000.000,106712000.000,23959687.028,,44498568.618,-8.03000,"2021-08-26 20:24:36",S016217
KB0,"2000000020","20210826",24656192.973,,,392800.000,7856000.000,7979875.846,1924720.000,6502797.127,-22.93000,"2021-08-26 20:24:36",S016217
KB0,"2000000021","20210826",129464496.880,,,1811500.000,36230000.000,42982584.088,18115000.000,30325412.792,-22.37000,"2021-08-26 20:24:36",S016217
KB0,"2000000022","20210826",53986116.338,,,759800.000,15196000.000,17864130.797,7598000.000,12568185.541,-21.94000,"2021-08-26 20:24:36",S016217
KB0,"2000000023","20210826",84982866.911,,,6066000.000,24264000.000,22842743.106,11646720.000,20163403.805,-20.95000,"2021-08-26 20:24:36",S016217
KB0,"2000000025","20210826",49334136.556,,,598100.001,11962000.000,20840778.720,5981000.000,9952257.835,-7.47000,"2021-08-26 20:24:36",S016217
KB0,"2000000026","20210826",93390386.522,,,3908100.000,26054000.000,28964107.469,13027000.000,21437179.053,-21.81000,"2021-08-26 20:24:36",S016217
KB0,"2000000027","20210826",46091486.369,,,1419900.000,9466000.000,26808084.740,4733000.000,3664501.629,10.13000,"2021-08-26 20:24:36",S016217
KB0,"2000000028","20210826",46389659.279,,,1967700.000,13118000.000,13951482.252,6559000.000,10793477.027,-23.15000,"2021-08-26 20:24:36",S016217
KB0,"2000000029","20210826",10440269.639,,,166100.000,3322000.000,3365373.144,813890.000,2772906.495,-22.05000,"2021-08-26 20:24:36",S016217
KB0,"2000000030","20210826",33331275.635,,,506799.999,10136000.000,12310282.533,2483320.000,7894873.103,-22.02000,"2021-08-26 20:24:36",S016217
KB0,"2000000031","20210826",31331831.353,,,2388500.001,9554000.000,8790202.991,2675120.000,7924008.361,-19.00000,"2021-08-26 20:24:36",S016217
KB0,"2000000032","20210826",135064381.892,,,9300999.999,93009999.990,16006206.739,6510700.000,10236475.164,-10.04000,"2021-08-26 20:24:36",S016217
KB0,"2000000033","20210826",21604045.637,,,307600.000,6152000.000,7005557.670,3076000.000,5062887.967,-22.90000,"2021-08-26 20:24:36",S016217
KB0,"2000000034","20210826",262610837.889,,,14257500.000,95050000.000,84694320.226,37069500.000,31539517.663,-22.70000,"2021-08-26 20:24:36",S016217
KB0,"2000000035","20210826",173075549.099,,,2417500.000,48350000.000,58024232.663,24175000.000,40108816.436,-21.97000,"2021-08-26 20:24:36",S016217
KB0,"2000000036","20210826",45039140.781,,,1860900.000,12406000.000,14286000.326,6203000.000,10283240.455,-20.58000,"2021-08-26 20:24:36",S016217
KB0,"2000000037","20210826",16341965.045,,,1045500.000,6970000.000,6618815.045,1707650.000,,-29.14000,"2021-08-26 20:24:36",S016217
KB0,"2000000038","20210826",49829595.586,,,6332000.000,31660000.000,5221781.426,3166000.000,3449814.160,-9.53000,"2021-08-26 20:24:36",S016217
KB0,"2000000039","20210826",74462607.235,,,3578400.000,23856000.000,25725791.146,11928000.000,9374416.089,-25.95000,"2021-08-26 20:24:36",S016217
KB0,"2000000040","20210826",40226400.000,,,,40226400.000,,,,0.00000,"2021-08-26 20:24:36",S016217
KB0,"2000000041","20210826",69022935.560,,,808600.000,16172000.000,34688753.212,3962140.000,13391442.348,1.51000,"2021-08-26 20:24:36",S016217
KB0,"2000000042","20210826",74682639.075,,,9479000.000,47395000.000,7878947.655,4739500.000,5190191.420,-10.12000,"2021-08-26 20:24:36",S016217
KB0,"2000000043","20210826",33612583.304,,,414399.999,8288000.000,13891707.350,4144000.000,6874475.955,-8.53000,"2021-08-26 20:24:36",S016217
KB0,"2000000044","20210826",92473151.330,,,6022000.000,24088000.000,35773642.799,6744640.000,19844868.531,-13.95000,"2021-08-26 20:24:36",S016217
KB0,"2000000045","20210826",27692175.689,,,1753200.000,11688000.000,11387415.689,2863560.000,,-27.99000,"2021-08-26 20:24:36",S016217
KB0,"2000000046","20210826",11617673.834,,,885999.999,3544000.000,3238345.395,992320.000,2957008.440,-19.50000,"2021-08-26 20:24:36",S016217
KB0,"2000000047","20210826",38573983.392,,,3731500.000,14926000.000,14095343.392,5821140.000,,-27.17000,"2021-08-26 20:24:36",S016217
KB0,"2000000048","20210826",39277191.613,,,588500.000,10593000.000,13782384.119,5885000.000,8428307.494,-23.27000,"2021-08-26 20:24:36",S016217
KB0,"2000000049","20210826",23739605.103,,,910800.000,6072000.000,12164910.129,2914560.000,1677334.974,2.43000,"2021-08-26 20:24:36",S016217
KB0,"2000000050","20210826",14726834.593,,,1015500.000,10155000.000,1745541.557,710850.000,1099943.036,-9.66000,"2021-08-26 20:24:36",S016217
KB0,"2000000051","20210826",62237262.818,,,740600.000,14812000.000,30967327.912,3628940.000,12088394.906,-0.46000,"2021-08-26 20:24:36",S016217
KB0,"2000000052","20210826",69762370.519,,,4806999.999,48069999.999,8134234.371,3364900.000,5386236.150,-9.41000,"2021-08-26 20:24:36",S016217
KB0,"2000000053","20210826",390679407.442,,,27128000.000,108512000.000,121438334.046,43404800.000,90196273.396,-21.19000,"2021-08-26 20:24:36",S016217
KB0,"2000000054","20210826",317571595.412,,,24307500.000,97230000.000,87743533.566,27224400.000,81066161.846,-19.72000,"2021-08-26 20:24:36",S016217
KB0,"2000000055","20210826",27230136.548,,,1460700.000,9738000.000,9005565.835,3797820.000,3228050.713,-21.63000,"2021-08-26 20:24:36",S016217
KB0,"2000000056","20210826",32674248.486,,,514800.000,10296000.000,11456167.581,2522520.000,7884760.905,-24.16000,"2021-08-26 20:24:36",S016217
KB0,"2000000057","20210826",45454746.015,,,4355000.000,17420000.000,16885946.015,6793800.000,,-26.74000,"2021-08-26 20:24:36",S016217
KB0,"2000000058","20210826",60506545.778,,,921000.000,16578000.000,20528218.116,9210000.000,13269327.662,-24.12000,"2021-08-26 20:24:36",S016217
KB0,"2000000059","20210826",59380488.019,,,7526000.000,37630000.000,6307638.502,3763000.000,4153849.517,-8.16000,"2021-08-26 20:24:36",S016217
KB0,"2000000060","20210826",49907396.024,,,6702000.000,26808000.000,5391325.271,,11006070.753,-9.28000,"2021-08-26 20:24:36",S016217
KB0,"2000000061","20210826",62569168.376,,,4536500.000,18146000.000,19570180.613,5080880.000,15235607.763,-20.87000,"2021-08-26 20:24:36",S016217
KB0,"2000000062","20210826",97481075.276,,,9306000.000,37224000.000,36433715.276,14517360.000,,-26.24000,"2021-08-26 20:24:36",S016217
KB0,"2000000063","20210826",45457346.467,,,3121500.000,31215000.000,5496975.459,2185050.000,3438821.008,-9.37000,"2021-08-26 20:24:36",S016217
KB0,"2000000064","20210826",23411974.606,,,1653500.000,6614000.000,6994659.227,2645600.000,5504215.379,-22.75000,"2021-08-26 20:24:36",S016217
KB0,"2000000065","20210826",8768933.646,,,139100.000,2782000.000,2873977.305,681590.000,2292266.341,-22.49000,"2021-08-26 20:24:36",S016217
KB0,"2000000066","20210826",1039674.034,,,68000.000,272000.000,363927.549,108800.000,226946.485,-15.21000,"2021-08-26 20:24:36",S016217
KB0,"2000000067","20210826",57000568.305,,,2681400.000,17876000.000,20674043.946,8938000.000,6831124.359,-24.28000,"2021-08-26 20:24:36",S016217
KB0,"2000000068","20210826",164775944.286,,,2494300.000,44897400.000,56825175.937,24943000.000,35616068.349,-24.35000,"2021-08-26 20:24:36",S016217
KB0,"2000000069","20210826",96427749.354,,,5180700.000,34538000.000,33012580.410,8461810.000,15234658.944,-23.60000,"2021-08-26 20:24:36",S016217
KB0,"2000000070","20210826",63579607.072,,,2029800.000,13532000.000,38227670.672,5277480.000,4512656.400,20.44000,"2021-08-26 20:24:36",S016217
KB0,"2000000071","20210826",62447624.203,,,8247000.000,32988000.000,7543466.388,,13669157.815,-7.87000,"2021-08-26 20:24:36",S016217
KB0,"2000000072","20210826",274048226.812,,,18138000.000,72552000.000,94414597.848,29020800.000,59922828.964,-16.97000,"2021-08-26 20:24:36",S016217
KB0,"2000000073","20210826",92342908.942,,,1379000.001,27580000.000,26726910.197,13790000.000,22866998.744,-22.90000,"2021-08-26 20:24:36",S016217
KB0,"2000000074","20210826",41561748.349,,,2925500.000,11702000.000,11676736.247,5616960.000,9640552.102,-20.41000,"2021-08-26 20:24:36",S016217
KB0,"2000000075","20210826",57159770.210,,,2387100.000,15914000.000,17681657.951,7957000.000,13220012.259,-21.76000,"2021-08-26 20:24:36",S016217
KB0,"2000000076","20210826",17939055.370,,,279999.999,5600000.000,6294718.837,1372000.000,4392336.534,-23.64000,"2021-08-26 20:24:36",S016217
KB0,"2000000077","20210826",22958808.373,,,1431999.999,11456000.000,3475677.381,3436800.000,3158330.993,-12.22000,"2021-08-26 20:24:36",S016217
KB0,"2000000078","20210826",446774699.911,,,7125100.000,142502000.000,145146054.123,34912990.000,117088555.788,-22.82000,"2021-08-26 20:24:36",S016217
KB0,"2000000079","20210826",6101398.675,,,333900.000,2226000.000,2017164.750,545370.000,978963.925,-25.85000,"2021-08-26 20:24:36",S016217
KB0,"2000000080","20210826",27713832.044,,,444800.000,8896000.000,8824084.172,2179520.000,7369427.872,-23.01000,"2021-08-26 20:24:36",S016217
KB0,"2000000081","20210826",300661142.279,,,14523600.000,96824000.000,103642088.060,48412000.000,37259454.219,-25.86000,"2021-08-26 20:24:36",S016217
KB0,"2000000082","20210826",31855718.099,,,1594800.000,10632000.000,17024078.099,2604840.000,,-11.62000,"2021-08-26 20:24:36",S016217
KB0,"2000000083","20210826",65178601.588,,,3450500.001,27604000.000,18247904.010,8281200.000,7594997.577,-1.36000,"2021-08-26 20:24:36",S016217
KB0,"2000000084","20210826",53208020.630,,,2022300.000,13482000.000,27474479.882,6471360.000,3757880.748,3.36000,"2021-08-26 20:24:36",S016217
KB0,"2000000085","20210826",33659027.735,,,549400.000,10988000.000,10379593.765,2692060.000,9049973.970,-24.05000,"2021-08-26 20:24:36",S016217
KB0,"2000000086","20210826",72052311.187,,,4395500.001,35164000.000,12258880.766,10549200.000,9684730.420,-12.41000,"2021-08-26 20:24:36",S016217
KB0,"2000000087","20210826",35366828.853,,,503400.000,10068000.000,11467593.915,5034000.000,8293834.938,-22.65000,"2021-08-26 20:24:36",S016217
KB0,"2000000088","20210826",139311293.229,,,5817000.000,38780000.000,43288720.469,19390000.000,32035572.760,-22.15000,"2021-08-26 20:24:36",S016217
KB0,"2000000089","20210826",240250215.517,,,18443000.001,73772000.000,66054572.385,20656160.000,61324483.131,-19.84000,"2021-08-26 20:24:36",S016217
KB0,"2000000090","20210826",22757939.642,,,332700.000,6654000.000,6891166.187,3327000.000,5553073.455,-21.44000,"2021-08-26 20:24:36",S016217
KB0,"2000000091","20210826",61887257.277,,,593800.000,10688400.000,36205145.974,5938000.000,8461911.303,12.98000,"2021-08-26 20:24:36",S016217
KB0,"2000000092","20210826",32734285.001,,,3138000.000,12552000.000,12149005.001,4895280.000,,-27.30000,"2021-08-26 20:24:36",S016217
KB0,"2000000093","20210826",563868317.362,,,76694000.000,306776000.000,54038275.494,,126360041.868,-9.20000,"2021-08-26 20:24:36",S016217
KB0,"2000000094","20210826",72306824.694,,,2375100.000,15834000.000,39995761.688,7917000.000,6184963.006,2.57000,"2021-08-26 20:24:36",S016217
KB0,"2000000095","20210826",39451355.992,,,2091000.000,13940000.000,12897519.343,6691200.000,3831636.649,-21.52000,"2021-08-26 20:24:36",S016217
KB0,"2000000096","20210826",90066144.443,,,6613500.000,26454000.000,27668348.751,7407120.000,21923175.692,-22.93000,"2021-08-26 20:24:36",S016217
KB0,"2000000097","20210826",27691233.437,,,441500.001,8830000.000,9453751.933,2163350.000,6802631.503,-24.56000,"2021-08-26 20:24:36",S016217
KB0,"2000000098","20210826",44078472.087,,,2384100.000,15894000.000,14964943.166,3894030.000,6941398.921,-23.76000,"2021-08-26 20:24:36",S016217
KB0,"2000000099","20210826",450671018.220,,,24418500.000,162790000.000,146493274.107,63488100.000,53481144.113,-23.19000,"2021-08-26 20:24:36",S016217
KB0,"2000000100","20210826",249917924.331,,,3716600.000,66898800.000,88214057.356,37166000.000,53922466.975,-22.98000,"2021-08-26 20:24:36",S016217
KB0,"2000000101","20210826",69403915.153,,,4084500.000,40845000.000,17137899.871,2859150.000,4477365.282,3.61000,"2021-08-26 20:24:36",S016217
KB0,"2000000102","20210826",390588865.579,,,29841500.001,119366000.000,108938861.194,33422480.000,99020024.384,-19.47000,"2021-08-26 20:24:36",S016217
KB0,"2000000103","20210826",43413000.949,,,3022500.000,30225000.000,4699992.106,2115750.000,3349758.843,-10.55000,"2021-08-26 20:24:36",S016217
KB0,"2000000104","20210826",494320964.783,,,32299500.000,129198000.000,190654216.613,36175440.000,105993808.170,-14.67000,"2021-08-26 20:24:36",S016217
KB0,"2000000105","20210826",52160685.013,,,1519200.000,10128000.000,33604527.779,2481360.000,4427597.234,26.13000,"2021-08-26 20:24:36",S016217
KB0,"2000000106","20210826",27709384.392,,,1502100.000,10014000.000,8653183.830,4806720.000,2733380.562,-23.51000,"2021-08-26 20:24:36",S016217
KB0,"2000000107","20210826",50426404.526,,,6779000.000,27116000.000,5288004.406,,11243400.120,-8.01000,"2021-08-26 20:24:36",S016217
KB0,"2000000108","20210826",36560480.445,,,2576500.000,10306000.000,10994256.665,4122400.000,8561323.780,-20.92000,"2021-08-26 20:24:36",S016217
KB0,"2000000109","20210826",41310416.201,,,2278800.000,15192000.000,13442900.376,3722040.000,6674675.825,-25.46000,"2021-08-26 20:24:36",S016217
KB0,"2000000110","20210826",4425035.937,,,239400.000,1596000.000,1390083.053,766080.000,433472.884,-22.97000,"2021-08-26 20:24:36",S016217
KB0,"2000000111","20210826",46355723.098,,,2685500.001,10742000.000,20896077.045,3007760.000,9024386.052,2.53000,"2021-08-26 20:24:36",S016217
KB0,"2000000112","20210826",197792795.927,,,2869400.001,57388000.000,61794546.562,28694000.000,47046849.364,-20.98000,"2021-08-26 20:24:36",S016217
KB0,"2000000113","20210826",29542438.587,,,416900.000,8338000.000,9763569.702,4169000.000,6854968.885,-22.38000,"2021-08-26 20:24:36",S016217
KB0,"2000000114","20210826",31894235.292,,,450900.000,9018000.000,10420492.789,4509000.000,7495842.503,-23.19000,"2021-08-26 20:24:36",S016217
KB0,"2000000115","20210826",33788309.676,,,2601500.001,10406000.000,9265155.346,2913680.000,8601974.329,-19.02000,"2021-08-26 20:24:36",S016217
KB0,"2000000116","20210826",45862475.773,,,719799.999,14396000.000,16117953.737,3527020.000,11101702.037,-24.28000,"2021-08-26 20:24:36",S016217
KB0,"2000000117","20210826",45748949.862,,,2673500.001,26735000.001,11494159.113,1871450.000,2974840.747,3.62000,"2021-08-26 20:24:36",S016217
KB0,"2000000118","20210826",32136072.974,,,1512300.000,10082000.000,11648027.942,5041000.000,3852745.032,-23.61000,"2021-08-26 20:24:36",S016217
KB0,"2000000119","20210826",67652959.965,,,2344500.000,15630000.000,38365311.651,6095700.000,5217448.314,10.42000,"2021-08-26 20:24:36",S016217
KB0,"2000000120","20210826",40188300.920,,,2852000.000,11408000.000,11031555.595,5475840.000,9420905.325,-19.97000,"2021-08-26 20:24:36",S016217
KB0,"2000000121","20210826",24558471.340,,,1890999.999,7564000.000,6698220.789,2117920.000,6287330.552,-19.45000,"2021-08-26 20:24:36",S016217
KB0,"2000000122","20210826",2327400.000,,,,2327400.000,,,,0.00000,"2021-08-26 20:24:36",S016217
KB0,"2000000123","20210826",67012729.526,,,8844000.000,35376000.000,8090188.055,,14702541.471,-8.97000,"2021-08-26 20:24:36",S016217
KB0,"2000000124","20210826",24527918.695,,,3053000.000,15265000.000,2984869.281,1526500.000,1698549.414,-8.60000,"2021-08-26 20:24:36",S016217
KB0,"2000000125","20210826",107173743.213,,,5620800.000,37472000.000,38404124.848,9180640.000,16496178.365,-21.70000,"2021-08-26 20:24:36",S016217
KB0,"2000000126","20210826",269100580.467,,,4136100.000,82722000.000,97928240.409,20266890.000,64047350.058,-23.87000,"2021-08-26 20:24:36",S016217
KB0,"2000000127","20210826",19228022.060,,,1793000.000,7172000.000,7465942.060,2797080.000,,-25.35000,"2021-08-26 20:24:36",S016217
KB0,"2000000128","20210826",69361559.864,,,2942100.000,19614000.000,20730809.490,9807000.000,16267650.374,-22.62000,"2021-08-26 20:24:36",S016217
KB0,"2000000129","20210826",16284288.103,,,1071000.000,4284000.000,6183484.478,1199520.000,3546283.625,-14.78000,"2021-08-26 20:24:36",S016217
KB0,"2000000130","20210826",36359683.734,,,4878000.000,19512000.000,4012487.702,,7957196.032,-9.37000,"2021-08-26 20:24:36",S016217
KB0,"2000000131","20210826",225509031.975,,,3308300.001,66166000.000,68481157.495,33083000.000,54470574.479,-21.47000,"2021-08-26 20:24:36",S016217
KB0,"2000000132","20210826",157672063.681,,,9637500.000,77100000.000,26163911.186,23130000.000,21640652.495,-11.53000,"2021-08-26 20:24:36",S016217
KB0,"2000000133","20210826",10928052.499,,,522900.000,3486000.000,6065082.499,854070.000,,-8.77000,"2021-08-26 20:24:36",S016217
KB0,"2000000134","20210826",13297462.274,,,820500.000,5470000.000,5666812.274,1340150.000,,-27.80000,"2021-08-26 20:24:36",S016217
KB0,"2000000135","20210826",98057628.215,,,7109000.000,28436000.000,31207259.608,7962080.000,23343288.607,-21.88000,"2021-08-26 20:24:36",S016217
KB0,"2000000136","20210826",7974252.580,,,425100.000,2834000.000,2579724.541,1360320.000,775108.039,-22.16000,"2021-08-26 20:24:36",S016217
KB0,"2000000137","20210826",23915373.750,,,361200.000,6501600.000,8298451.780,3612000.000,5142121.970,-23.93000,"2021-08-26 20:24:36",S016217
KB0,"2000000138","20210826",164198987.094,,,10666000.000,42664000.000,94230027.094,16638960.000,,1.27000,"2021-08-26 20:24:36",S016217
KB0,"2000000139","20210826",60285779.531,,,7639000.000,38195000.000,6411799.174,3819500.000,4220480.357,-8.73000,"2021-08-26 20:24:36",S016217
KB0,"2000000140","20210826",45495307.724,,,671600.001,13432000.000,13648696.418,6716000.000,11027011.305,-20.68000,"2021-08-26 20:24:36",S016217
KB0,"2000000141","20210826",150953714.646,,,8150400.000,54336000.000,47375968.391,26081280.000,15010066.255,-22.81000,"2021-08-26 20:24:36",S016217
KB0,"2000000142","20210826",54658421.717,,,804600.000,16092000.000,16501724.842,8046000.000,13214096.875,-21.73000,"2021-08-26 20:24:36",S016217
KB0,"2000000143","20210826",40643150.212,,,499700.001,9994000.000,16783445.465,4997000.000,8369004.746,-8.81000,"2021-08-26 20:24:36",S016217
KB0,"2000000144","20210826",54859413.248,,,864000.000,17280000.000,18272303.076,4233600.000,14209510.172,-22.57000,"2021-08-26 20:24:36",S016217
KB0,"2000000145","20210826",25228495.555,,,2434000.000,9736000.000,9261455.555,3797040.000,,-26.15000,"2021-08-26 20:24:36",S016217
KB0,"2000000146","20210826",50472300.230,,,1698900.000,11326000.000,27425931.732,5663000.000,4358468.498,2.15000,"2021-08-26 20:24:36",S016217
KB0,"2000000147","20210826",32235466.078,,,1358400.000,9056000.000,9816460.628,4528000.000,7476605.450,-21.47000,"2021-08-26 20:24:36",S016217
KB0,"2000000148","20210826",3356000.001,,,3356000.001,,,,,0.00000,"2021-08-26 20:24:36",S016217
KB0,"2000000149","20210826",47725977.661,,,6067000.000,30335000.000,4985018.396,3033500.000,3305459.265,-8.36000,"2021-08-26 20:24:36",S016217
KB0,"2000000150","20210826",17178406.428,,,1169000.000,4676000.000,5604031.675,1870400.000,3858974.753,-18.99000,"2021-08-26 20:24:36",S016217
KB0,"2000000151","20210826",166279941.056,,,12015000.000,48060000.000,52937874.050,13456800.000,39810267.006,-21.11000,"2021-08-26 20:24:36",S016217
KB0,"2000000152","20210826",53720602.433,,,3047499.999,30474999.999,14663724.263,2133250.000,3401128.172,6.39000,"2021-08-26 20:24:36",S016217
KB0,"2000000153","20210826",47972991.865,,,3341000.000,13364000.000,14952766.096,5345600.000,10969625.769,-20.63000,"2021-08-26 20:24:36",S016217
KB0,"2000000154","20210826",428875820.684,,,27863000.000,111452000.000,166027932.367,31206560.000,92326328.317,-13.28000,"2021-08-26 20:24:36",S016217
KB0,"2000000155","20210826",299153718.381,,,14213100.000,94754000.000,106201137.256,47377000.000,36608481.125,-24.65000,"2021-08-26 20:24:36",S016217
KB0,"2000000156","20210826",219278571.838,,,3239000.001,64780000.000,65170240.118,32390000.000,53699331.719,-21.27000,"2021-08-26 20:24:36",S016217
KB0,"2000000157","20210826",15534373.781,,,185700.000,3714000.000,7646845.136,909930.000,3077898.645,-2.03000,"2021-08-26 20:24:36",S016217
KB0,"2000000158","20210826",9797142.303,,,545100.000,3634000.000,2994949.801,1417260.000,1205832.502,-24.31000,"2021-08-26 20:24:36",S016217
KB0,"2000000159","20210826",49578208.400,,,2698200.000,17988000.000,15848092.160,7015320.000,6028596.240,-23.23000,"2021-08-26 20:24:36",S016217
KB0,"2000000160","20210826",61307984.463,,,2951400.000,19676000.000,21240690.017,9838000.000,7601894.446,-25.29000,"2021-08-26 20:24:36",S016217
KB0,"2000000161","20210826",8464178.492,,,124899.999,2498000.000,2515642.776,1249000.000,2076635.717,-21.97000,"2021-08-26 20:24:36",S016217
KB0,"2000000162","20210826",46305102.699,,,659400.000,13188000.000,15010424.630,6594000.000,10853278.069,-23.54000,"2021-08-26 20:24:36",S016217
KB0,"2000000163","20210826",21289117.297,,,1526500.000,6106000.000,6919269.767,1709680.000,5027667.530,-20.40000,"2021-08-26 20:24:36",S016217
KB0,"2000000164","20210826",26612983.933,,,317000.000,6340000.000,13172587.365,1553300.000,5230096.568,-1.23000,"2021-08-26 20:24:36",S016217
KB0,"2000000165","20210826",281155169.587,,,19855500.000,79422000.000,84000418.967,31768800.000,66108450.620,-21.26000,"2021-08-26 20:24:36",S016217
KB0,"2000000166","20210826",39851571.223,,,556800.000,11136000.000,13462668.393,5568000.000,9128102.830,-22.61000,"2021-08-26 20:24:36",S016217
KB0,"2000000167","20210826",163857418.564,,,11490500.000,45962000.000,49799955.000,18384800.000,38220163.564,-21.33000,"2021-08-26 20:24:36",S016217
KB0,"2000000168","20210826",131766199.788,,,2066000.001,41320000.000,46582309.464,10123400.000,31674490.323,-24.91000,"2021-08-26 20:24:36",S016217
KB0,"2000000169","20210826",34946362.281,,,4670000.000,18680000.000,3886834.391,,7709527.890,-8.20000,"2021-08-26 20:24:36",S016217
KB0,"2000000170","20210826",53157900.233,,,2920500.000,19470000.000,17288174.194,4770150.000,8709076.039,-23.31000,"2021-08-26 20:24:36",S016217
KB0,"2000000171","20210826",44137602.650,,,412500.000,7425000.000,26160361.187,4125000.000,6014741.463,14.74000,"2021-08-26 20:24:36",S016217
KB0,"2000000172","20210826",51041069.221,,,2763300.000,18422000.000,17208224.100,4513390.000,8134155.121,-23.89000,"2021-08-26 20:24:36",S016217
KB0,"2000000173","20210826",21935696.612,,,333300.000,5999400.000,7463167.549,3333000.000,4806829.063,-24.72000,"2021-08-26 20:24:36",S016217
KB0,"2000000174","20210826",229143691.776,,,14625500.000,58502000.000,133200411.776,22815780.000,,3.36000,"2021-08-26 20:24:36",S016217
KB0,"2000000175","20210826",60885745.191,,,2888700.000,19258000.000,34020835.191,4718210.000,,-8.83000,"2021-08-26 20:24:36",S016217
KB0,"2000000176","20210826",9874787.256,,,157299.999,3146000.000,3393903.538,770770.000,2406813.719,-25.05000,"2021-08-26 20:24:36",S016217
KB0,"2000000177","20210826",295786024.409,,,12584100.000,83894000.000,87472552.110,41947000.000,69888372.299,-22.13000,"2021-08-26 20:24:36",S016217
KB0,"2000000178","20210826",36157367.554,,,1742700.000,11618000.000,12543509.905,5809000.000,4444157.649,-25.43000,"2021-08-26 20:24:36",S016217
KB0,"2000000179","20210826",49881568.022,,,688300.000,13766000.000,17033099.361,6883000.000,11511168.661,-20.76000,"2021-08-26 20:24:36",S016217
KB0,"2000000180","20210826",87620222.469,,,2544900.000,16966000.000,56476288.465,4156670.000,7476364.004,27.45000,"2021-08-26 20:24:36",S016217
KB0,"2000000181","20210826",57826583.395,,,899100.000,17982000.000,20589505.327,4405590.000,13950388.068,-24.94000,"2021-08-26 20:24:36",S016217
KB0,"2000000182","20210826",103442506.477,,,1481400.000,29628000.000,33063213.255,14814000.000,24455893.222,-24.02000,"2021-08-26 20:24:36",S016217
KB0,"2000000183","20210826",13190368.279,,,1760000.000,7040000.000,1463525.811,,2926842.468,-10.29000,"2021-08-26 20:24:36",S016217
KB0,"2000000184","20210826",24144265.126,,,382900.000,7658000.000,7894653.119,1876210.000,6332502.007,-23.22000,"2021-08-26 20:24:36",S016217
