"그룹회사코드","마이데이터고객식별자","기준년월일","포트폴리오자산부채대분류구분","포트폴리오자산부채중분류구분","포트폴리오자산부채소분류구분","기관코드","집계금액","시스템최종처리일시","시스템최종사용자번호"
KB0,"2000000002","20210826","10","1030","103010","999999",1065294.503,"2021-08-27 01:00",S016217
KB0,"2000000002","20210826","10","1030","103040","999999",4010327.468,"2021-08-27 01:00",S016217
KB0,"2000000002","20210826","10","1030","103050","999999",6128374.294,"2021-08-27 01:00",S016217
KB0,"2000000002","20210826","10","1040","104020","999999",2269400.000,"2021-08-27 01:00",S016217
KB0,"2000000002","20210826","10","1040","104030","999999",972600.000,"2021-08-27 01:00",S016217
KB0,"2000000002","20210826","10","1050","105010","999999",1440080.128,"2021-08-27 01:00",S016217
KB0,"2000000002","20210826","10","1050","105020","999999",3874282.475,"2021-08-27 01:00",S016217
KB0,"2000000003","20210826","10","1010","101010","999999",1896600.000,"2021-08-27 01:00",S016217
KB0,"2000000003","20210826","10","1020","102010","999999",10115200.000,"2021-08-27 01:00",S016217
KB0,"2000000003","20210826","10","1020","102020","999999",2528800.000,"2021-08-27 01:00",S016217
KB0,"2000000003","20210826","10","1030","103010","999999",1668810.263,"2021-08-27 01:00",S016217
KB0,"2000000003","20210826","10","1030","103040","999999",6852214.146,"2021-08-27 01:00",S016217
KB0,"2000000003","20210826","10","1030","103050","999999",3471223.385,"2021-08-27 01:00",S016217
KB0,"2000000003","20210826","10","1040","104020","999999",3097780.000,"2021-08-27 01:00",S016217
KB0,"2000000004","20210826","10","1010","101010","999999",21110000.001,"2021-08-27 01:00",S016217
KB0,"2000000004","20210826","10","1020","102010","999999",33776000.000,"2021-08-27 01:00",S016217
KB0,"2000000004","20210826","10","1020","102020","999999",50664000.000,"2021-08-27 01:00",S016217
KB0,"2000000004","20210826","10","1030","103010","999999",15044429.303,"2021-08-27 01:00",S016217
KB0,"2000000004","20210826","10","1030","103040","999999",45031207.019,"2021-08-27 01:00",S016217
KB0,"2000000004","20210826","10","1030","103050","999999",15667185.938,"2021-08-27 01:00",S016217
KB0,"2000000004","20210826","10","1040","104020","999999",23643200.000,"2021-08-27 01:00",S016217
KB0,"2000000004","20210826","10","1050","105010","999999",60707445.597,"2021-08-27 01:00",S016217
KB0,"2000000004","20210826","10","1050","105020","999999",9349030.203,"2021-08-27 01:00",S016217
KB0,"2000000005","20210826","10","1010","101010","999999",19991000.000,"2021-08-27 01:00",S016217
KB0,"2000000005","20210826","10","1020","102010","999999",23989200.000,"2021-08-27 01:00",S016217
KB0,"2000000005","20210826","10","1020","102020","999999",55974800.000,"2021-08-27 01:00",S016217
KB0,"2000000005","20210826","10","1030","103010","999999",10242681.467,"2021-08-27 01:00",S016217
KB0,"2000000005","20210826","10","1030","103040","999999",49888109.058,"2021-08-27 01:00",S016217
KB0,"2000000005","20210826","10","1030","103050","999999",19164416.692,"2021-08-27 01:00",S016217
KB0,"2000000005","20210826","10","1040","104010","999999",8796040.000,"2021-08-27 01:00",S016217
KB0,"2000000005","20210826","10","1040","104020","999999",22389920.000,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1010","101010","999999",1000000.000,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1020","102010","999999",2000000.000,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1020","102020","999999",2000000.000,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1030","103010","999999",844593.214,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1030","103030","999999",1033745.303,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1030","103040","999999",1919879.252,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1030","103050","999999",2109629.797,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1040","104020","999999",1120000.000,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1050","105010","999999",2421259.364,"2021-08-27 01:00",S016217
KB0,"2000000006","20210826","10","1050","105020","999999",880455.336,"2021-08-27 01:00",S016217
KB0,"2000000007","20210826","10","1010","101010","999999",8974500.000,"2021-08-27 01:00",S016217
KB0,"2000000007","20210826","10","1020","102010","999999",10769400.000,"2021-08-27 01:00",S016217
KB0,"2000000007","20210826","10","1020","102020","999999",25128600.000,"2021-08-27 01:00",S016217
KB0,"2000000007","20210826","10","1030","103010","999999",4761290.994,"2021-08-27 01:00",S016217
KB0,"2000000007","20210826","10","1030","103040","999999",22819496.703,"2021-08-27 01:00",S016217
KB0,"2000000007","20210826","10","1030","103050","999999",53116389.939,"2021-08-27 01:00",S016217
KB0,"2000000007","20210826","10","1040","104010","999999",3948780.000,"2021-08-27 01:00",S016217
KB0,"2000000007","20210826","10","1040","104020","999999",10051440.000,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1010","101010","999999",1955500.000,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1020","102010","999999",2346600.000,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1020","102020","999999",5475400.000,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1030","103010","999999",1362552.972,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1030","103040","999999",3922218.923,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1030","103050","999999",2380761.443,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1040","104010","999999",625760.000,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1040","104020","999999",3128800.000,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1050","105010","999999",6008050.261,"2021-08-27 01:00",S016217
KB0,"2000000008","20210826","10","1050","105020","999999",429577.298,"2021-08-27 01:00",S016217
KB0,"2000000009","20210826","10","1010","101010","999999",4089500.000,"2021-08-27 01:00",S016217
KB0,"2000000009","20210826","10","1020","102010","999999",81790000.000,"2021-08-27 01:00",S016217
KB0,"2000000009","20210826","10","1030","103010","999999",16826947.397,"2021-08-27 01:00",S016217
KB0,"2000000009","20210826","10","1030","103030","999999",6158058.486,"2021-08-27 01:00",S016217
KB0,"2000000009","20210826","10","1030","103040","999999",55869113.864,"2021-08-27 01:00",S016217
KB0,"2000000009","20210826","10","1030","103050","999999",18929006.953,"2021-08-27 01:00",S016217
KB0,"2000000009","20210826","10","1040","104020","999999",28626500.000,"2021-08-27 01:00",S016217
KB0,"2000000009","20210826","10","1040","104030","999999",12268500.000,"2021-08-27 01:00",S016217
KB0,"2000000009","20210826","10","1050","105020","999999",67848816.704,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1010","101010","999999",4778500.000,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1020","102010","999999",7645600.000,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1020","102020","999999",11468400.000,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1030","103010","999999",4180465.275,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1030","103030","999999",3260305.938,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1030","103040","999999",12075809.747,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1030","103050","999999",702520.844,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1040","104020","999999",7645600.000,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1050","105010","999999",12521495.596,"2021-08-27 01:00",S016217
KB0,"2000000010","20210826","10","1050","105020","999999",3199785.231,"2021-08-27 01:00",S016217
KB0,"2000000011","20210826","10","1010","101010","999999",639600.000,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1010","101010","999999",2763500.000,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1020","102010","999999",3316200.000,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1020","102020","999999",7737800.000,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1030","103010","999999",1755555.608,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1030","103040","999999",5531055.713,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1030","103050","999999",3282612.539,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1040","104010","999999",884320.000,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1040","104020","999999",4421600.000,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1050","105010","999999",8448296.432,"2021-08-27 01:00",S016217
KB0,"2000000012","20210826","10","1050","105020","999999",607676.298,"2021-08-27 01:00",S016217
KB0,"2000000013","20210826","10","1010","101010","999999",3676000.000,"2021-08-27 01:00",S016217
KB0,"2000000013","20210826","10","1020","102010","999999",11028000.000,"2021-08-27 01:00",S016217
KB0,"2000000013","20210826","10","1020","102020","999999",7352000.000,"2021-08-27 01:00",S016217
KB0,"2000000013","20210826","10","1030","103030","999999",788856.199,"2021-08-27 01:00",S016217
KB0,"2000000013","20210826","10","1030","103040","999999",2406046.053,"2021-08-27 01:00",S016217
KB0,"2000000013","20210826","10","1040","104020","999999",1838000.000,"2021-08-27 01:00",S016217
KB0,"2000000013","20210826","10","1050","105010","999999",2018812.526,"2021-08-27 01:00",S016217
KB0,"2000000014","20210826","10","1010","101010","999999",476700.000,"2021-08-27 01:00",S016217
KB0,"2000000014","20210826","10","1020","102010","999999",8580600.000,"2021-08-27 01:00",S016217
KB0,"2000000014","20210826","10","1020","102020","999999",953400.000,"2021-08-27 01:00",S016217
KB0,"2000000014","20210826","10","1030","103010","999999",1590012.244,"2021-08-27 01:00",S016217
KB0,"2000000014","20210826","10","1030","103040","999999",4765960.924,"2021-08-27 01:00",S016217
KB0,"2000000014","20210826","10","1030","103050","999999",14128770.561,"2021-08-27 01:00",S016217
KB0,"2000000014","20210826","10","1040","104020","999999",2335830.000,"2021-08-27 01:00",S016217
KB0,"2000000014","20210826","10","1050","105010","999999",1580208.650,"2021-08-27 01:00",S016217
KB0,"2000000014","20210826","10","1050","105020","999999",6233263.767,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1010","101010","999999",528500.000,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1020","102010","999999",845600.000,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1020","102020","999999",1268400.000,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1030","103010","999999",462486.928,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1030","103030","999999",336553.345,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1030","103040","999999",1409583.259,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1030","103050","999999",71615.960,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1040","104020","999999",845600.000,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1050","105010","999999",1398738.542,"2021-08-27 01:00",S016217
KB0,"2000000015","20210826","10","1050","105020","999999",347944.912,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1010","101010","999999",1821000.000,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1020","102010","999999",2185200.000,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1020","102020","999999",5098800.000,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1030","103010","999999",1291020.837,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1030","103040","999999",3591084.055,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1030","103050","999999",1991760.355,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1040","104010","999999",582720.000,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1040","104020","999999",2913600.000,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1050","105010","999999",5690447.196,"2021-08-27 01:00",S016217
KB0,"2000000016","20210826","10","1050","105020","999999",410533.233,"2021-08-27 01:00",S016217
KB0,"2000000017","20210826","10","1010","101010","999999",2434500.000,"2021-08-27 01:00",S016217
KB0,"2000000017","20210826","10","1020","102010","999999",11361000.000,"2021-08-27 01:00",S016217
KB0,"2000000017","20210826","10","1020","102020","999999",4869000.000,"2021-08-27 01:00",S016217
KB0,"2000000017","20210826","10","1030","103010","999999",1473322.794,"2021-08-27 01:00",S016217
KB0,"2000000017","20210826","10","1030","103040","999999",8051290.716,"2021-08-27 01:00",S016217
KB0,"2000000017","20210826","10","1030","103050","999999",5733425.784,"2021-08-27 01:00",S016217
KB0,"2000000017","20210826","10","1040","104020","999999",3976350.000,"2021-08-27 01:00",S016217
KB0,"2000000017","20210826","10","1050","105020","999999",7052890.132,"2021-08-27 01:00",S016217
KB0,"2000000018","20210826","10","1010","101010","999999",13197600.000,"2021-08-27 01:00",S016217
KB0,"2000000018","20210826","10","1020","102010","999999",52790400.000,"2021-08-27 01:00",S016217
KB0,"2000000018","20210826","10","1020","102020","999999",35193600.000,"2021-08-27 01:00",S016217
KB0,"2000000018","20210826","10","1030","103040","999999",53080204.651,"2021-08-27 01:00",S016217
KB0,"2000000018","20210826","10","1030","103050","999999",24013845.579,"2021-08-27 01:00",S016217
KB0,"2000000018","20210826","10","1040","104010","999999",9678240.000,"2021-08-27 01:00",S016217
KB0,"2000000018","20210826","10","1040","104020","999999",24635520.000,"2021-08-27 01:00",S016217
KB0,"2000000018","20210826","10","1050","105020","999999",29516865.287,"2021-08-27 01:00",S016217
KB0,"2000000019","20210826","10","1010","101010","999999",26678000.000,"2021-08-27 01:00",S016217
KB0,"2000000019","20210826","10","1020","102010","999999",53356000.000,"2021-08-27 01:00",S016217
KB0,"2000000019","20210826","10","1020","102020","999999",53356000.000,"2021-08-27 01:00",S016217
KB0,"2000000019","20210826","10","1030","103030","999999",12202495.300,"2021-08-27 01:00",S016217
KB0,"2000000019","20210826","10","1030","103040","999999",11757191.728,"2021-08-27 01:00",S016217
KB0,"2000000019","20210826","10","1050","105010","999999",29803366.969,"2021-08-27 01:00",S016217
KB0,"2000000019","20210826","10","1050","105020","999999",14695201.649,"2021-08-27 01:00",S016217
KB0,"2000000020","20210826","10","1010","101010","999999",392800.000,"2021-08-27 01:00",S016217
KB0,"2000000020","20210826","10","1020","102010","999999",7070400.000,"2021-08-27 01:00",S016217
KB0,"2000000020","20210826","10","1020","102020","999999",785600.000,"2021-08-27 01:00",S016217
KB0,"2000000020","20210826","10","1030","103010","999999",1263965.581,"2021-08-27 01:00",S016217
KB0,"2000000020","20210826","10","1030","103040","999999",4081243.943,"2021-08-27 01:00",S016217
KB0,"2000000020","20210826","10","1030","103050","999999",2634666.322,"2021-08-27 01:00",S016217
KB0,"2000000020","20210826","10","1040","104020","999999",1924720.000,"2021-08-27 01:00",S016217
KB0,"2000000020","20210826","10","1050","105010","999999",1315144.017,"2021-08-27 01:00",S016217
KB0,"2000000020","20210826","10","1050","105020","999999",5187653.110,"2021-08-27 01:00",S016217
KB0,"2000000021","20210826","10","1010","101010","999999",1811500.000,"2021-08-27 01:00",S016217
KB0,"2000000021","20210826","10","1020","102010","999999",36230000.000,"2021-08-27 01:00",S016217
KB0,"2000000021","20210826","10","1030","103010","999999",7705982.505,"2021-08-27 01:00",S016217
KB0,"2000000021","20210826","10","1030","103030","999999",2900095.118,"2021-08-27 01:00",S016217
KB0,"2000000021","20210826","10","1030","103040","999999",24933801.316,"2021-08-27 01:00",S016217
KB0,"2000000021","20210826","10","1030","103050","999999",7442705.149,"2021-08-27 01:00",S016217
KB0,"2000000021","20210826","10","1040","104020","999999",12680500.000,"2021-08-27 01:00",S016217
KB0,"2000000021","20210826","10","1040","104030","999999",5434500.000,"2021-08-27 01:00",S016217
KB0,"2000000021","20210826","10","1050","105020","999999",30325412.792,"2021-08-27 01:00",S016217
KB0,"2000000022","20210826","10","1010","101010","999999",759800.000,"2021-08-27 01:00",S016217
KB0,"2000000022","20210826","10","1020","102010","999999",15196000.000,"2021-08-27 01:00",S016217
KB0,"2000000022","20210826","10","1030","103010","999999",3243516.545,"2021-08-27 01:00",S016217
KB0,"2000000022","20210826","10","1030","103030","999999",1395918.687,"2021-08-27 01:00",S016217
KB0,"2000000022","20210826","10","1030","103040","999999",10222479.580,"2021-08-27 01:00",S016217
KB0,"2000000022","20210826","10","1030","103050","999999",3002215.985,"2021-08-27 01:00",S016217
KB0,"2000000022","20210826","10","1040","104020","999999",5318600.000,"2021-08-27 01:00",S016217
KB0,"2000000022","20210826","10","1040","104030","999999",2279400.000,"2021-08-27 01:00",S016217
KB0,"2000000022","20210826","10","1050","105020","999999",12568185.541,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1010","101010","999999",6066000.000,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1020","102010","999999",7279200.000,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1020","102020","999999",16984800.000,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1030","103010","999999",3827615.698,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1030","103040","999999",12327747.909,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1030","103050","999999",6687379.499,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1040","104010","999999",1941120.000,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1040","104020","999999",9705600.000,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1050","105010","999999",18842752.093,"2021-08-27 01:00",S016217
KB0,"2000000023","20210826","10","1050","105020","999999",1320651.712,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1010","101010","999999",598100.001,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1020","102010","999999",9569600.000,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1020","102020","999999",2392400.000,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1030","103010","999999",1975029.697,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1030","103040","999999",8334353.587,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1030","103050","999999",10531395.436,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1040","104020","999999",4186700.000,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1040","104030","999999",1794300.000,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1050","105010","999999",2646177.196,"2021-08-27 01:00",S016217
KB0,"2000000025","20210826","10","1050","105020","999999",7306080.639,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1010","101010","999999",3908100.000,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1020","102010","999999",18237800.000,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1020","102020","999999",7816200.000,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1030","103010","999999",3249650.147,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1030","103030","999999",5016920.774,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1030","103040","999999",14446245.752,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1030","103050","999999",6251290.796,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1040","104020","999999",9118900.000,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1040","104030","999999",3908100.000,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1050","105010","999999",8585209.499,"2021-08-27 01:00",S016217
KB0,"2000000026","20210826","10","1050","105020","999999",12851969.554,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1010","101010","999999",1419900.000,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1020","102010","999999",5679600.000,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1020","102020","999999",3786400.000,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1030","103010","999999",781985.261,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1030","103030","999999",1582978.919,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1030","103040","999999",6143278.510,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1030","103050","999999",18299842.050,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1040","104020","999999",3313100.000,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1040","104030","999999",1419900.000,"2021-08-27 01:00",S016217
KB0,"2000000027","20210826","10","1050","105020","999999",3664501.629,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1010","101010","999999",1967700.000,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1020","102010","999999",9182600.000,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1020","102020","999999",3935400.000,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1030","103010","999999",1696791.490,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1030","103030","999999",2065456.025,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1030","103040","999999",6812216.492,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1030","103050","999999",3377018.245,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1040","104020","999999",4591300.000,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1040","104030","999999",1967700.000,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1050","105010","999999",4322590.734,"2021-08-27 01:00",S016217
KB0,"2000000028","20210826","10","1050","105020","999999",6470886.293,"2021-08-27 01:00",S016217
KB0,"2000000029","20210826","10","1010","101010","999999",166100.000,"2021-08-27 01:00",S016217
KB0,"2000000029","20210826","10","1020","102010","999999",2989800.000,"2021-08-27 01:00",S016217
KB0,"2000000029","20210826","10","1020","102020","999999",332200.000,"2021-08-27 01:00",S016217
KB0,"2000000029","20210826","10","1030","103010","999999",604895.214,"2021-08-27 01:00",S016217
KB0,"2000000029","20210826","10","1030","103040","999999",1623967.983,"2021-08-27 01:00",S016217
KB0,"2000000029","20210826","10","1030","103050","999999",1136509.947,"2021-08-27 01:00",S016217
KB0,"2000000029","20210826","10","1040","104020","999999",813890.000,"2021-08-27 01:00",S016217
KB0,"2000000029","20210826","10","1050","105010","999999",548415.790,"2021-08-27 01:00",S016217
KB0,"2000000029","20210826","10","1050","105020","999999",2224490.705,"2021-08-27 01:00",S016217
KB0,"2000000030","20210826","10","1010","101010","999999",506799.999,"2021-08-27 01:00",S016217
KB0,"2000000030","20210826","10","1020","102010","999999",10136000.000,"2021-08-27 01:00",S016217
KB0,"2000000030","20210826","10","1030","103010","999999",2191379.304,"2021-08-27 01:00",S016217
KB0,"2000000030","20210826","10","1030","103030","999999",709656.169,"2021-08-27 01:00",S016217
KB0,"2000000030","20210826","10","1030","103040","999999",6768688.883,"2021-08-27 01:00",S016217
KB0,"2000000030","20210826","10","1030","103050","999999",2640558.177,"2021-08-27 01:00",S016217
KB0,"2000000030","20210826","10","1040","104020","999999",2483320.000,"2021-08-27 01:00",S016217
KB0,"2000000030","20210826","10","1050","105020","999999",7894873.103,"2021-08-27 01:00",S016217
KB0,"2000000031","20210826","10","1010","101010","999999",2388500.001,"2021-08-27 01:00",S016217
KB0,"2000000031","20210826","10","1020","102010","999999",3821600.000,"2021-08-27 01:00",S016217
KB0,"2000000031","20210826","10","1020","102020","999999",5732400.000,"2021-08-27 01:00",S016217
KB0,"2000000031","20210826","10","1030","103010","999999",1654460.800,"2021-08-27 01:00",S016217
KB0,"2000000031","20210826","10","1030","103040","999999",5387826.370,"2021-08-27 01:00",S016217
KB0,"2000000031","20210826","10","1030","103050","999999",1747915.821,"2021-08-27 01:00",S016217
KB0,"2000000031","20210826","10","1040","104020","999999",2675120.000,"2021-08-27 01:00",S016217
KB0,"2000000031","20210826","10","1050","105010","999999",6875659.174,"2021-08-27 01:00",S016217
KB0,"2000000031","20210826","10","1050","105020","999999",1048349.187,"2021-08-27 01:00",S016217
KB0,"2000000032","20210826","10","1010","101010","999999",9300999.999,"2021-08-27 01:00",S016217
KB0,"2000000032","20210826","10","1020","102010","999999",37203999.990,"2021-08-27 01:00",S016217
KB0,"2000000032","20210826","10","1020","102020","999999",55806000.000,"2021-08-27 01:00",S016217
KB0,"2000000032","20210826","10","1030","103030","999999",4615888.571,"2021-08-27 01:00",S016217
KB0,"2000000032","20210826","10","1030","103040","999999",7198767.211,"2021-08-27 01:00",S016217
KB0,"2000000032","20210826","10","1030","103050","999999",4191550.957,"2021-08-27 01:00",S016217
KB0,"2000000032","20210826","10","1040","104020","999999",6510700.000,"2021-08-27 01:00",S016217
KB0,"2000000032","20210826","10","1050","105010","999999",10236475.164,"2021-08-27 01:00",S016217
KB0,"2000000033","20210826","10","1010","101010","999999",307600.000,"2021-08-27 01:00",S016217
KB0,"2000000033","20210826","10","1020","102010","999999",6152000.000,"2021-08-27 01:00",S016217
KB0,"2000000033","20210826","10","1030","103010","999999",1283986.461,"2021-08-27 01:00",S016217
KB0,"2000000033","20210826","10","1030","103030","999999",489498.539,"2021-08-27 01:00",S016217
KB0,"2000000033","20210826","10","1030","103040","999999",3949992.822,"2021-08-27 01:00",S016217
KB0,"2000000033","20210826","10","1030","103050","999999",1282079.848,"2021-08-27 01:00",S016217
KB0,"2000000033","20210826","10","1040","104020","999999",2153200.000,"2021-08-27 01:00",S016217
KB0,"2000000033","20210826","10","1040","104030","999999",922800.000,"2021-08-27 01:00",S016217
KB0,"2000000033","20210826","10","1050","105020","999999",5062887.967,"2021-08-27 01:00",S016217
KB0,"2000000034","20210826","10","1010","101010","999999",14257500.000,"2021-08-27 01:00",S016217
KB0,"2000000034","20210826","10","1020","102010","999999",57030000.000,"2021-08-27 01:00",S016217
KB0,"2000000034","20210826","10","1020","102020","999999",38020000.000,"2021-08-27 01:00",S016217
